section,Trace,Comment,Length,Area,
21,4align7,,3.14444,0.136468,
21,4align8,,3.14477,0.136497,
21,4align9,,3.14474,0.136497,
21,5align1,,6.07396,0.243454,
21,5align10,,6.0739,0.243409,
21,5align2,,6.07396,0.243425,
21,5align3,,6.07385,0.243434,
21,5align4,,6.07383,0.243373,
21,5align5,,6.07385,0.243457,
21,5align6,,6.07384,0.243456,
21,5align7,,6.07377,0.243438,
21,5align8,,6.07404,0.243481,
21,5align9,,6.07387,0.243476,
21,d001,,2.93908,0.580819,
21,D001,,0.46756,0.00758551,
21,d001_o04,symmetric candidate,0.0855438,0.000351651,
21,d002,,3.01067,0.582266,
21,D002,,0.37,0.00476169,
21,d002_o1,symmetric candidate,0.118268,0.000672165,
21,d005,DDH traced 5/10/2019,2.3913,0.362238,
21,d005_c04,,0.836162,0.0412943,
21,d005_c06,,0.326616,0.00745441,
21,d005_cfa04,,0.325361,0,
21,d005_cfa06,KH identified 4/29/19,0.0785783,0,
21,d005_p04,DDH traced 5/10/2019,1.60304,0.10419,
21,d005_p06,DDH traced 5/10/2019,0.828458,0.048449,
21,TEM FIELD,,35.965,80.6231,
22,3align1,,1.55351,0.116023,
22,3align10,,1.55351,0.116023,
22,3align11,,1.55351,0.116023,
22,3align12,,1.55351,0.116023,
22,3align2,,1.55351,0.116023,
22,3align3,,1.55351,0.116023,
22,3align4,,1.55351,0.116023,
22,3align5,,1.55351,0.116023,
22,3align6,,1.55351,0.116023,
22,3align7,,1.55351,0.116023,
22,3align8,,1.55351,0.116023,
22,3align9,,1.55351,0.116023,
22,4align1,,3.13808,0.135633,
22,4align10,,3.13808,0.135633,
22,4align11,,3.13808,0.135633,
22,4align12,,3.13808,0.135633,
